method,seed,mean_error,mse,variance,q05,q50,q95
baseline,0,-77.76876831054688,1391185.125,1385137.125,-1887.1669921875,-65.05314636230469,1672.734375
mmcc,0,-19.35197639465332,24607.568359375,24233.0703125,-263.6430969238281,-11.595743179321289,199.7303009033203
baseline,1,-145.4065704345703,8287321.0,8266177.5,-2086.15869140625,-84.8028335571289,1763.93212890625
mmcc,1,-17.53363609313965,27571.990234375,27264.5625,-268.9625244140625,-28.439350128173828,266.9585266113281
baseline,2,-51.744598388671875,337390.15625,334712.65625,-971.5210571289062,-65.22178649902344,908.1847534179688
mmcc,2,-11.00020694732666,9047.5712890625,8926.5673828125,-99.2701416015625,-10.29128646850586,77.1313247680664
baseline,3,-5983797248.0,3.0036546045565037e+22,3.0000737924927814e+22,-142406795264.0,-53903844.0,116441276416.0
mmcc,3,-4918011904.0,2.035411309149313e+22,2.032992650969434e+22,-115915767808.0,-28207078.0,93216497664.0
baseline,4,-37.43071365356445,126438.2109375,125037.1484375,-571.1405639648438,-49.73017120361328,544.6608276367188
mmcc,4,-19.715063095092773,14688.5908203125,14299.9072265625,-206.03683471679688,-22.43699073791504,184.42446899414062
